country,getting_electric
Afghanistan,59.67
Albania,58.05
Algeria,58.97
Angola,56.53
Antigua and Barbuda,90.45
Argentina,72.6
Armenia,70.56
Australia,80.58
Austria,87.75
Azerbaijan,65.82
"Bahamas, The",81.37
Bahrain,78.95
Bangladesh,15.22
Bangladesh - Chittagong,16.43
Bangladesh - Dhaka,14.88
Barbados,67.53
Belarus,62.38
Belgium,72.81
Belize,80.51
Benin,35.27
Bhutan,76.76
Bolivia,64.82
Bosnia and Herzegovina,54.69
Botswana,72.36
Brazil,90.6
Brazil - Rio de Janeiro,90.24
Brazil - São Paulo,90.82
Brunei Darussalam,83.23
Bulgaria,65.7
Burkina Faso,40.82
Burundi,35.27
Cabo Verde,63.98
Cambodia,60.26
Cameroon,80.24
Canada,59.26
Central African Republic,32.27
Chad,42.9
Chile,79.45
China,66.19
China - Beijing,63.45
China - Shanghai,68.43
Colombia,74.05
Comoros,76.06
"Congo, Dem Rep",36.52
"Congo, Rep",47.21
Costa Rica,81.61
Cote d’Ivoire,52.43
Croatia,80.04
Cyprus,60.97
Czech Republic,86.64
Denmark,91.06
Djibouti,48.13
Dominica,80.55
Dominican Republic,67.26
Ecuador,66.96
"Egypt, Arab Rep",76.73
El Salvador,63.1
Equatorial Guinea,74.04
Eritrea,69.15
Estonia,76.38
Ethiopia,75.52
Fiji,77.76
Finland,85.29
France,81.03
Gabon,54.9
"Gambia, The",61.57
Georgia,84.64
Germany,98.36
Ghana,76.16
Greece,78.28
Grenada,84.93
Guatemala,89.14
Guinea,54.09
Guinea-Bissau,36.74
Guyana,56.63
Haiti,72.72
Honduras,70.75
"Hong Kong SAR, China",91.54
Hungary,60.63
Iceland,93.81
India,63.11
India - Delhi,56.48
India - Mumbai,70.6
Indonesia,73.07
Indonesia - Jakarta,71.52
Indonesia - Surabaya,78.57
"Iran, Islamic Rep",61.58
Iraq,78.06
Ireland,61.42
Israel,71.1
Italy,78.19
Jamaica,65
Japan,86.51
Japan - Osaka,84.88
Japan - Tokyo,87.39
Jordan,83.34
Kazakhstan,72.92
Kenya,71.59
Kiribati,50.09
"Korea, Rep",99.81
Kosovo,70.11
Kuwait,65.35
Kyrgyz Republic,57.59
Lao PDR,58.57
Latvia,80.2
Lebanon,80.22
Lesotho,66.78
Liberia,44.75
Libya,79.17
Lithuania,64.58
Luxembourg,73.87
"Macedonia, FYR",81.36
Madagascar,21.5
Malawi,23.03
Malaysia,92.43
Maldives,68.65
Mali,64.14
Malta,69.88
Marshall Islands,78.87
Mauritania,58.42
Mauritius,84.15
Mexico,64.25
Mexico - Mexico City,61.47
Mexico - Monterrey,77.84
"Micronesia, Fed Sts",65.12
Moldova,59.85
Mongolia,60.42
Montenegro,57.76
Morocco,74.1
Mozambique,55.67
Myanmar,59.95
Namibia,78.92
Nepal,75.67
Netherlands,75.41
New Zealand,81.88
Nicaragua,73.6
Niger,51.79
Nigeria,35.24
Nigeria - Kano,38.37
Nigeria - Lagos,34.31
Norway,87.44
Oman,76.75
Pakistan,57.26
Pakistan - Karachi,54.22
Pakistan - Lahore,62.9
Palau,73
Panama,86.38
Papua New Guinea,87.25
Paraguay,80.95
Peru,80.33
Philippines,90.8
Poland,74.68
Portugal,71.65
Puerto Rico US,85.32
Qatar,83.97
Romania,35.36
Russian Federation,70.43
Russian Federation - Moscow,72.37
Russian Federation - Saint Petersburg,65.91
Rwanda,75.59
Samoa,88.9
San Marino,95.85
São Tomé and Príncipe,79.83
Saudi Arabia,88.08
Senegal,34.43
Serbia,75.99
Seychelles,64.18
Sierra Leone,32.5
Singapore,92.45
Slovak Republic,73.73
Slovenia,85.5
Solomon Islands,65.26
Somalia,
South Africa,55.62
South Sudan,29.52
Spain,60.35
Sri Lanka,72.24
St Kitts and Nevis,93.25
St Lucia,86.86
St Vincent and the Grenadines,94.82
Sudan,67.22
Suriname,78.49
Swaziland,61.01
Sweden,94.92
Switzerland,96.71
Syrian Arab Republic,78.52
"Taiwan, China",93.38
Tajikistan,39.04
Tanzania,74.3
Thailand,85.94
Timor-Leste,91.07
Togo,59.83
Tonga,85.02
Trinidad and Tobago,88.18
Tunisia,84.29
Turkey,84.95
Uganda,33.48
Ukraine,52.04
United Arab Emirates,97.43
United Kingdom,85.23
United States,79.51
United States - Los Angeles,66.34
United States - New York City,88.29
Uruguay,84.47
Uzbekistan,59.12
Vanuatu,74.6
"Venezuela, RB",58.38
Vietnam,62.17
West Bank and Gaza,75.88
"Yemen, Rep",66.28
Zambia,65.05
Zimbabwe,56.73
