country,registering.property
Afghanistan,38.42
Albania,61.3
Algeria,45.88
Angola,38.46
Antigua and Barbuda,58.48
Argentina,57.04
Armenia,72.16
Australia,80.25
Austria,78.88
Azerbaijan,67.84
"Bahamas, The",56.82
Bahrain,66.38
Bangladesh,40.68
Bangladesh - Chittagong,40.6
Bangladesh - Dhaka,40.71
Barbados,57.34
Belarus,70.89
Belgium,73.02
Belize,58.06
Benin,47.5
Bhutan,65.35
Bolivia,49.82
Bosnia and Herzegovina,63.07
Botswana,65.39
Brazil,56.6
Brazil - Rio de Janeiro,57.47
Brazil - São Paulo,56.04
Brunei Darussalam,60.28
Bulgaria,73.08
Burkina Faso,51.06
Burundi,47.25
Cabo Verde,55.3
Cambodia,54.54
Cameroon,44.48
Canada,78.79
Central African Republic,36.27
Chad,38.25
Chile,69.48
China,62.86
China - Beijing,62.52
China - Shanghai,63.14
Colombia,70.45
Comoros,47.94
"Congo, Dem Rep",37.53
"Congo, Rep",41.07
Costa Rica,68.49
Cote d’Ivoire,51.6
Croatia,72.78
Cyprus,72.48
Czech Republic,76.43
Denmark,84.85
Djibouti,44.42
Dominica,60.52
Dominican Republic,59.08
Ecuador,57.49
"Egypt, Arab Rep",55.18
El Salvador,62.2
Equatorial Guinea,41.36
Eritrea,27.94
Estonia,81.01
Ethiopia,46.85
Fiji,62.47
Finland,80.85
France,76.21
Gabon,46.16
"Gambia, The",49.28
Georgia,77.72
Germany,79.88
Ghana,57.87
Greece,68.67
Grenada,53.93
Guatemala,62.44
Guinea,46.16
Guinea-Bissau,40.86
Guyana,51.38
Haiti,38.51
Honduras,59.16
"Hong Kong SAR, China",83.77
Hungary,72.74
Iceland,78.88
India,53.93
India - Delhi,53.23
India - Mumbai,54.71
Indonesia,58.51
Indonesia - Jakarta,58.76
Indonesia - Surabaya,57.63
"Iran, Islamic Rep",57.08
Iraq,44.99
Ireland,79.25
Israel,71.44
Italy,71.97
Jamaica,66.73
Japan,75.36
Japan - Osaka,75.27
Japan - Tokyo,75.41
Jordan,57.02
Kazakhstan,70.45
Kenya,57.5
Kiribati,48.51
"Korea, Rep",83.86
Kosovo,67.15
Kuwait,60.12
Kyrgyz Republic,65.09
Lao PDR,52.44
Latvia,79.14
Lebanon,56.08
Lesotho,57.56
Liberia,41.53
Libya,33.33
Lithuania,78.6
Luxembourg,68.79
"Macedonia, FYR",79.19
Madagascar,44.22
Malawi,51.11
Malaysia,78.18
Maldives,53.99
Mali,50.71
Malta,62.52
Marshall Islands,51.9
Mauritania,45.58
Mauritius,72.18
Mexico,71.95
Mexico - Mexico City,71.17
Mexico - Monterrey,75.73
"Micronesia, Fed Sts",49.48
Moldova,71.64
Mongolia,67.31
Montenegro,71.47
Morocco,65.82
Mozambique,53.82
Myanmar,44.01
Namibia,58.86
Nepal,59.36
Netherlands,76.33
New Zealand,86.96
Nicaragua,55.65
Niger,47.07
Nigeria,44.02
Nigeria - Kano,46.26
Nigeria - Lagos,43.36
Norway,82.3
Oman,65.65
Pakistan,49.48
Pakistan - Karachi,48.47
Pakistan - Lahore,51.35
Palau,53.78
Panama,66.19
Papua New Guinea,53.92
Paraguay,59.1
Peru,70.22
Philippines,59.53
Poland,77.04
Portugal,77.12
Puerto Rico US,69.18
Qatar,64.68
Romania,74.12
Russian Federation,73.2
Russian Federation - Moscow,73.35
Russian Federation - Saint Petersburg,72.83
Rwanda,68.63
Samoa,62.16
San Marino,63.55
São Tomé and Príncipe,46.67
Saudi Arabia,60.33
Senegal,49.95
Serbia,69.58
Seychelles,61
Sierra Leone,50.14
Singapore,84.5
Slovak Republic,75.44
Slovenia,75.44
Solomon Islands,58.79
Somalia,20.24
South Africa,65.29
South Sudan,33.48
Spain,75.02
Sri Lanka,58.14
St Kitts and Nevis,55.13
St Lucia,63.47
St Vincent and the Grenadines,56.01
Sudan,45.8
Suriname,47.25
Swaziland,58.15
Sweden,81.61
Switzerland,76.07
Syrian Arab Republic,42.85
"Taiwan, China",81.08
Tajikistan,53.98
Tanzania,50.59
Thailand,71.65
Timor-Leste,42.03
Togo,47.4
Tonga,63.83
Trinidad and Tobago,61.07
Tunisia,63.91
Turkey,67.3
Uganda,57.1
Ukraine,62.77
United Arab Emirates,74.83
United Kingdom,82.73
United States,82.46
United States - Los Angeles,80.96
United States - New York City,83.46
Uruguay,61.33
Uzbekistan,62.68
Vanuatu,61.45
"Venezuela, RB",36.33
Vietnam,61.11
West Bank and Gaza,51.81
"Yemen, Rep",39.92
Zambia,60.77
Zimbabwe,47.08
